Employee_ID,First_Name,Last_Name,Gender,Salary,Job_Title,Country,Birth_Date,Hire_Date
120163,Brett,Magrath,M,26735,Sales Rep. II,AU,5/22/64,1/1/91
120164,Ranj,Stamalis,F,27450,Sales Rep. II,AU,11/26/59,2/1/82
120165,Tadashi,Pretorius,M,27050,Sales Rep. I,AU,3/19/84,3/1/06
120166,Fadi,Nowd,M,30660,Sales Rep. IV,AU,6/14/44,1/1/74
120167,Kimiko,Tilley,F,25185,Sales Rep. I,AU,5/4/54,2/1/74
120168,Selina,Barcoe,F,25275,Sales Rep. I,AU,3/24/84,11/1/06
120169,Cos,Tannous,M,28135,Sales Rep. III,AU,1/2/84,5/1/06
120170,Alban,Kingston,M,28830,Sales Rep. III,AU,2/25/74,10/1/92
120171,Alena,Moody,F,26205,Sales Rep. II,AU,7/19/84,9/1/06
120172,Edwin,Comber,M,28345,Sales Rep. III,AU,4/1/44,1/1/74
120173,Hernani,Osborn,M,26715,Sales Rep. I,AU,2/23/54,6/1/77
120174,Doungkamol,Simms,F,26850,Sales Rep. I,AU,1/10/44,1/1/74
120175,Andrew,Conolly,M,25745,Sales Rep. I,AU,8/18/88,10/1/06
120176,Koavea,Pa,M,26095,Sales Rep. I,AU,11/9/86,11/1/06
120177,Franca,Kierce,F,28745,Sales Rep. III,AU,4/5/79,2/1/98
120178,Billy,Plested,M,26165,Sales Rep. II,AU,11/23/54,4/1/74
120179,Matsuoka,Wills,M,28510,Sales Rep. III,AU,3/15/74,1/1/04
120180,Vino,George,M,26970,Sales Rep. II,AU,6/27/54,12/1/78
120198,Meera,Body,F,28025,Sales Rep. III,AU,1/21/88,12/1/06
120261,Harry,Highpoint,M,243190,Chief Sales Officer,US,2/21/69,8/1/87
121018,Julienne,Magolan,F,27560,Sales Rep. II,US,1/3/44,1/1/74
121019,Scott,Desanctis,M,31320,Sales Rep. IV,US,6/25/86,6/1/04
121020,Cherda,Ridley,F,31750,Sales Rep. IV,US,2/23/84,5/1/02
121021,Priscilla,Farren,F,32985,Sales Rep. IV,US,12/10/74,3/1/94
121022,Robert,Stevens,M,32210,Sales Rep. IV,US,10/28/79,2/1/02
121023,Shawn,Fuller,M,26010,Sales Rep. I,US,3/13/64,5/1/89
121024,Michael,Westlund,M,26600,Sales Rep. II,US,9/21/84,5/1/04
121025,Barnaby,Cassey,M,28295,Sales Rep. II,US,10/10/49,9/1/75
121026,Terrill,Jaime,M,31515,Sales Rep. IV,US,11/8/86,4/1/06
121027,Allan,Rudder,M,26165,Sales Rep. II,US,5/5/64,12/1/89
121028,William,Smades,M,26585,Sales Rep. I,US,4/27/88,11/1/06
121029,Kuo-Chung,Mcelwee,M,27225,Sales Rep. I,US,12/22/64,12/1/89
121030,Jeryl,Areu,M,26745,Sales Rep. I,US,11/12/79,2/1/01
121031,Scott,Filan,M,28060,Sales Rep. III,US,7/9/64,8/1/85
121032,Nasim,Smith,M,31335,Sales Rep. IV,US,2/24/88,3/1/06
121033,Kristie,Snitzer,F,29775,Sales Rep. III,US,11/6/86,6/1/04
121034,John,Kirkman,M,27110,Sales Rep. II,US,8/23/88,1/1/07
121035,James,Blackley,M,26460,Sales Rep. II,US,3/25/44,1/1/74
121036,Teresa,Mesley,F,25965,Sales Rep. I,US,7/18/88,10/1/03
121037,Muthukumar,Miketa,M,28310,Sales Rep. III,US,6/12/74,3/1/02
121038,David,Anstey,M,25285,Sales Rep. I,US,2/13/88,8/1/06
121039,Donald,Washington,M,27460,Sales Rep. II,US,6/3/54,5/1/80
121040,Brienne,Darrohn,F,29525,Sales Rep. III,US,7/6/59,11/1/82
121041,Jaime,Wetherington,F,26120,Sales Rep. II,US,2/4/44,1/1/74
121042,Joseph,Robbin-Coker,M,28845,Sales Rep. III,US,4/4/79,11/1/99
121043,Sigrid,Kagarise,F,28225,Sales Rep. II,US,11/9/69,3/1/92
121044,Ray,Abbott,M,25660,Sales Rep. I,US,12/11/54,8/1/75
121045,Cascile,Hampton,F,28560,Sales Rep. II,US,6/13/64,1/1/94
121046,Roger,Mandzak,M,25845,Sales Rep. I,US,9/7/84,7/1/06
121047,Karen,Grzebien,F,25820,Sales Rep. I,US,11/26/79,9/1/06
121048,Lawrie,Clark,F,26560,Sales Rep. I,US,6/24/84,9/1/06
121049,Perrior,Bataineh,F,26930,Sales Rep. I,US,2/14/86,12/1/06
121050,Patricia,Capristo-Abramczyk,F,26080,Sales Rep. II,US,1/12/86,12/1/06
121051,Glorina,Myers,F,26025,Sales Rep. I,US,5/2/49,11/1/78
121052,Richard,Fay,M,26900,Sales Rep. II,US,1/9/86,11/1/06
121053,Tywanna,Mcdade,F,29955,Sales Rep. III,US,9/23/44,2/1/74
121054,Daniel,Pulliam,M,29805,Sales Rep. III,US,11/12/54,11/1/76
121055,Clement,Davis,M,30185,Sales Rep. III,US,1/8/88,8/1/06
121056,Stacey,Lyszyk,F,28325,Sales Rep. II,US,7/5/84,5/1/03
121057,Tachaun,Voron,M,25125,Sales Rep. I,US,12/26/59,12/1/80
121058,Del,Kohake,M,26270,Sales Rep. I,US,7/12/74,10/1/02
121059,Jacqulin,Carhide,F,27425,Sales Rep. II,US,10/25/59,4/1/81
121060,Elizabeth,Spofford,F,28800,Sales Rep. III,US,6/8/44,1/1/74
121061,Lauris,Hassam,M,29815,Sales Rep. III,US,7/16/54,7/1/84
121062,Debra,Armant,F,30305,Sales Rep. IV,US,10/28/84,8/1/06
121063,Regi,Kinol,M,35990,Sales Rep. II,US,7/27/79,8/1/05
121064,Asishana,Polky,M,25110,Sales Rep. I,US,1/28/64,9/1/91
121065,Corneille,Malta,F,28040,Sales Rep. III,US,9/5/84,4/1/06
121066,Ceresh,Norman,F,27250,Sales Rep. II,US,8/23/44,1/1/74
121067,Jeanilla,Macnair,F,31865,Sales Rep. IV,US,1/18/86,3/1/06
121068,Salaheloin,Osuba,M,27550,Sales Rep. II,US,12/2/69,9/1/92
121069,Jason,Lapsley,M,26195,Sales Rep. II,US,3/19/69,10/1/90
121070,Agnieszka,Holthouse,F,29385,Sales Rep. III,US,11/4/84,2/1/06
121071,John,Hoppmann,M,28625,Sales Rep. III,US,9/10/59,9/1/77
121072,Christer,North,M,26105,Sales Rep. I,US,1/10/79,9/1/04
121073,Donald,Court,M,27100,Sales Rep. I,US,5/15/49,1/1/74
121074,Eric,Michonski,M,26990,Sales Rep. I,US,3/1/59,10/1/88
121075,Kasha,Sugg,F,28395,Sales Rep. II,US,12/23/44,1/1/74
121076,Micah,Cobb,M,26685,Sales Rep. II,US,10/9/64,1/1/83
121077,Bryce,Smotherly,M,28585,Sales Rep. III,US,9/5/84,10/1/06
121078,Lionel,Wende,M,27485,Sales Rep. I,US,5/1/49,11/1/78
121079,Azmi,Mees,M,25770,Sales Rep. I,US,6/3/74,11/1/97
121080,Kumar,Chinnis,M,32235,Sales Rep. I,US,1/24/59,9/1/87
121081,Susie,Knudson,F,30235,Sales Rep. III,US,3/28/49,4/1/76
121082,Richard,Debank,M,28510,Sales Rep. III,US,7/5/49,10/1/77
121083,Tingmei,Sutton,F,27245,Sales Rep. I,US,3/11/59,3/1/79
121084,Tulsidas,Ould,M,22710,Sales Rep. I,US,8/16/64,1/1/91
121085,Rebecca,Huslage,M,32235,Sales Rep. IV,US,11/12/86,1/1/07
121086,John-Michael,Plybon,M,26820,Sales Rep. I,US,12/16/44,1/1/74
121087,Virtina,O'Suilleabhain,F,28325,Sales Rep. II,US,12/7/74,3/1/99
121088,Momolu,Kernitzki,M,27240,Sales Rep. I,US,6/10/88,1/1/07
121089,Gregory,Sauder,M,28095,Sales Rep. II,US,8/21/54,7/1/74
121090,Betty,Klibbe,F,26600,Sales Rep. I,US,6/19/54,2/1/80
121091,Ernest,Kadiri,M,27325,Sales Rep. II,US,2/19/69,1/1/89
121092,Gynell,Pritt,F,25680,Sales Rep. I,US,3/8/74,8/1/02
121093,Carl,Vasconcellos,M,27410,Sales Rep. I,US,7/18/64,1/1/94
121094,Larry,Tate,M,26555,Sales Rep. I,US,1/7/54,9/1/78
121095,Sara,Kratzke,F,28010,Sales Rep. II,US,4/14/69,7/1/91
121096,Robert,Newstead,M,26335,Sales Rep. I,US,5/18/69,5/1/95
121097,Willeta,Chernega,F,26830,Sales Rep. II,US,10/23/74,10/1/95
121098,Hal,Heatwole,M,27475,Sales Rep. I,US,3/22/88,5/1/06
121099,Royall,Mrvichin,M,32725,Sales Rep. IV,US,3/19/79,5/1/00
121100,Tzue-Ing,Cormell,M,28135,Sales Rep. II,US,4/27/49,4/1/76
121101,Burnetta,Buckner,F,25390,Sales Rep. I,US,8/28/86,11/1/06
121102,Rocheal,Flammia,F,27115,Sales Rep. I,US,6/26/79,6/1/06
121103,Brian,Farnsworth,M,27260,Sales Rep. I,US,4/28/88,9/1/06
121104,Leoma,Johnson,F,28315,Sales Rep. II,US,11/12/64,4/1/86
121105,Jessica,Savacool,F,29545,Sales Rep. III,US,5/9/79,1/1/03
121106,James,Hilburger,M,25880,Sales Rep. I,US,2/2/69,2/1/96
121107,Rose,Anger,F,31380,Sales Rep. IV,US,4/24/86,7/1/06
121108,Libby,Levi,F,25930,Sales Rep. I,US,7/4/88,11/1/06
121109,Harold,Boulus,M,26035,Sales Rep. I,US,11/5/69,5/1/90
121135,Tammy,Ruta,F,27010,Sales Rep. I,US,6/7/54,8/1/74
121136,Lesia,Galarneau,F,27460,Sales Rep. I,US,7/15/74,12/1/02
121137,Michael. R.,Boocks,M,27055,Sales Rep. I,US,1/18/88,4/1/06
121138,Hershell,Tolley,M,27265,Sales Rep. I,US,2/28/49,1/1/74
121139,Diosdado,Mckee,F,27700,Sales Rep. II,US,8/19/59,7/1/87
121140,Saunders,Briggi,M,26335,Sales Rep. I,US,1/23/79,4/1/01
121143,Louis,Favaron,M,95090,Senior Sales Manager,US,11/26/69,7/1/97
121144,Renee,Capachietti,F,83505,Sales Manager,US,6/28/64,11/1/91
121145,Dennis,Lansberry,M,84260,Sales Manager,US,11/22/49,4/1/76
